# Bundle file v0.3
77 8714
1376.48278822 -0.00865396690767 0.0119889372136
0.123351115224 -0.94005080665 -0.317944937514
0.845232301044 -0.068351210067 0.530009876658
-0.519968133298 -0.334114640505 0.786130108414
32.6071898683 37.4891396508 -8.82894730968
1376.48278822 -0.00865396690767 0.0119889372136
0.987660824338 0.0765386568218 0.136630633752
-0.149874418825 0.715016996458 0.682853097934
-0.0454285664471 -0.694904690434 0.717665462847
-64.1782977189 5.69192948857 6.38486726084
1376.48278822 -0.00865396690767 0.0119889372136
-0.989994095692 -0.0160143027803 -0.14019712052
0.000584953664401 -0.993996461311 0.109410660954
-0.141107577135 0.108233899531 0.984059995461
-14.4725122442 37.0209865668 -11.3718727933
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1376.48278822 -0.00865396690767 0.0119889372136
-0.0199179318236 0.953798581023 0.299785828267
-0.857737338694 -0.170363254338 0.485039193654
0.513702183956 -0.247476520925 0.821501940222
34.4398397452 -12.2902077021 2.87896402069
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1376.48278822 -0.00865396690767 0.0119889372136
0.992492329399 0.038750945287 0.116005777108
-0.121899320952 0.390774590717 0.912379183674
-0.00997655424282 -0.919670366756 0.392564497728
-24.7988246447 10.608024502 -54.8907897026
1376.48278822 -0.00865396690767 0.0119889372136
-0.10375983735 -0.929077332427 -0.355034092058
0.848451174461 -0.268950912365 0.455846477769
-0.519003372541 -0.253930535991 0.816183056784
16.4484411015 44.6479787464 -26.3113687412
1376.48278822 -0.00865396690767 0.0119889372136
0.993622529024 0.0278808354523 0.109256253046
-0.0954934331508 0.723323332626 0.683874521169
-0.0599606040689 -0.689946385956 0.721372795762
28.4975591348 15.964383852 1.32886694985
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1376.48278822 -0.00865396690767 0.0119889372136
-0.0800115684892 0.950257057449 0.301014407755
-0.852993422491 -0.221521419913 0.472578545542
0.51575223712 -0.218951559227 0.828287295941
35.9363682001 31.8926665796 -27.7119768334
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1376.48278822 -0.00865396690767 0.0119889372136
0.351730938285 0.876860482186 0.327720981681
-0.892196797646 0.208060652024 0.40086860609
0.283319998099 -0.433389501327 0.855513482545
-2.798165438 -5.65951766982 11.4531747553
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1376.48278822 -0.00865396690767 0.0119889372136
0.213688611115 -0.929965949628 -0.299166358422
0.68824150684 -0.0740216862938 0.721695516282
-0.693297054474 -0.360116817839 0.624223575145
-11.7635905333 -11.1619938835 3.57765714836
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1376.48278822 -0.00865396690767 0.0119889372136
-0.096883159266 -0.931042908128 -0.35181352543
0.850269934352 -0.261159680713 0.456986498605
-0.517353546608 -0.254862167445 0.816939767313
17.1267709879 58.0106477086 -32.4161392537
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
